t[s]	Bpos	Bspd	A[cm淫	Mma[鑑]	P1[mN/m]	P2[mN/m]	T[蚓]	SP[V]	pH	AD[V]
0.02	0.000	0.000	237.75	144.88	-0.796	0.000	24.23		0.09	0.000
10.18	0.800	5.000	236.55	144.15	-0.798	0.000	24.22		0.09	0.000
20.32	1.641	5.000	235.29	143.38	-0.851	0.000	24.21		0.09	0.000
30.48	2.483	5.000	234.03	142.61	-0.845	0.000	24.21		0.09	0.000
40.62	3.324	5.000	232.76	141.84	-0.879	0.000	24.22		0.09	0.000
50.63	4.149	5.000	231.53	141.09	-0.812	0.000	24.23		0.09	0.000
60.76	4.991	5.000	230.26	140.32	-0.779	0.000	24.23		0.09	0.000
70.92	5.834	5.000	229.00	139.55	-0.760	0.000	24.23		0.09	0.000
80.93	6.666	5.000	227.75	138.78	-0.811	0.000	24.24		0.10	0.000
91.14	7.509	5.000	226.49	138.01	-0.836	0.000	24.24		0.10	0.000
101.31	8.348	5.000	225.23	137.25	-0.849	0.000	24.25		0.10	0.000
111.32	9.183	5.000	223.98	136.48	-0.812	0.000	24.25		0.10	0.000
121.33	10.018	5.000	222.72	135.72	-0.751	0.000	24.25		0.10	0.000
131.33	10.842	5.000	221.49	134.97	-0.783	0.000	24.25		0.10	0.000
141.53	11.692	5.000	220.21	134.19	-0.809	0.000	24.25		0.10	0.000
151.55	12.516	5.000	218.98	133.44	-0.788	0.000	24.25		0.10	0.000
161.72	13.367	5.000	217.70	132.66	-0.783	0.000	24.25		0.10	0.000
171.92	14.206	5.000	216.44	131.89	-0.742	0.000	24.25		0.10	0.000
182.11	15.057	5.000	215.16	131.12	-0.692	0.000	24.26		0.10	0.000
192.32	15.899	5.000	213.90	130.35	-0.637	0.000	24.26		0.10	0.000
202.52	16.749	5.000	212.63	129.57	-0.648	0.000	24.26		0.10	0.000
212.53	17.574	5.000	211.39	128.81	-0.610	0.000	24.26		0.10	0.000
222.71	18.424	5.000	210.11	128.04	-0.564	0.000	24.26		0.10	0.000
232.71	19.249	5.000	208.88	127.28	-0.509	0.000	24.26		0.10	0.000
242.72	20.081	5.000	207.63	126.52	-0.443	0.000	24.26		0.11	0.000
252.91	20.925	5.000	206.36	125.75	-0.341	0.000	24.25		0.11	0.000
263.02	21.767	5.000	205.10	124.98	-0.308	0.000	24.26		0.11	0.000
273.17	22.607	5.000	203.84	124.21	-0.197	0.000	24.26		0.11	0.000
283.31	23.450	5.000	202.57	123.44	-0.063	0.000	24.27		0.11	0.000
293.34	24.282	5.000	201.33	122.68	0.109	0.000	24.26		0.11	0.000
303.53	25.123	5.000	200.06	121.91	0.176	0.000	24.26		0.11	0.000
313.54	25.949	5.000	198.83	121.16	0.329	0.000	24.27		0.11	0.000
323.74	26.799	5.000	197.55	120.38	0.442	0.000	24.27		0.11	0.000
333.75	27.632	5.000	196.30	119.62	0.636	0.000	24.27		0.11	0.000
343.79	28.466	5.000	195.05	118.86	0.751	0.000	24.27		0.11	0.000
353.84	29.299	5.000	193.80	118.10	0.957	0.000	24.27		0.11	0.000
363.92	30.131	5.000	192.55	117.34	1.145	0.000	24.27		0.11	0.000
373.98	30.967	5.000	191.30	116.57	1.292	0.000	24.27		0.12	0.000
384.04	31.799	5.000	190.05	115.81	1.486	0.000	24.27		0.12	0.000
394.11	32.632	5.000	188.80	115.05	1.642	0.000	24.27		0.12	0.000
404.18	33.473	5.000	187.54	114.28	1.813	0.000	24.28		0.12	0.000
414.24	34.308	5.000	186.29	113.52	2.042	0.000	24.27		0.12	0.000
424.32	35.138	5.000	185.04	112.76	2.199	0.000	24.26		0.12	0.000
434.40	35.973	5.000	183.79	112.00	2.426	0.000	24.26		0.12	0.000
444.46	36.806	5.000	182.54	111.24	2.602	0.000	24.26		0.12	0.000
454.52	37.648	5.000	181.28	110.47	2.846	0.000	24.26		0.12	0.000
464.60	38.482	5.000	180.03	109.70	3.031	0.000	24.27		0.12	0.000
474.66	39.315	5.000	178.78	108.94	3.266	0.000	24.27		0.12	0.000
484.73	40.150	5.000	177.53	108.18	3.415	0.000	24.27		0.12	0.000
494.81	40.982	5.000	176.28	107.42	3.691	0.000	24.28		0.12	0.000
504.87	41.823	5.000	175.02	106.65	3.889	0.000	24.28		0.13	0.000
514.94	42.657	5.000	173.76	105.89	4.109	0.000	24.27		0.13	0.000
525.01	43.491	5.000	172.51	105.13	4.264	0.000	24.28		0.13	0.000
535.06	44.324	5.000	171.26	104.36	4.553	0.000	24.28		0.13	0.000
545.13	45.157	5.000	170.01	103.60	4.806	0.000	24.28		0.13	0.000
555.20	45.989	5.000	168.77	102.84	5.003	0.000	24.29		0.13	0.000
565.25	46.824	5.000	167.51	102.08	5.219	0.000	24.29		0.13	0.000
575.30	47.655	5.000	166.27	101.32	5.500	0.000	24.30		0.13	0.000
585.37	48.499	5.000	165.00	100.55	5.753	0.000	24.30		0.13	0.000
595.45	49.333	5.000	163.75	99.79	6.045	0.000	24.29		0.13	0.000
605.51	50.165	5.000	162.50	99.02	6.241	0.000	24.28		0.13	0.000
615.59	50.997	5.000	161.25	98.26	6.485	0.000	24.28		0.14	0.000
625.63	51.831	5.000	160.00	97.50	6.730	0.000	24.28		0.14	0.000
635.69	52.665	5.000	158.75	96.74	7.009	0.000	24.28		0.14	0.000
645.76	53.504	5.000	157.49	95.97	7.322	0.000	24.28		0.14	0.000
655.83	54.338	5.000	156.24	95.21	7.537	0.000	24.29		0.14	0.000
665.90	55.173	5.000	154.99	94.45	7.809	0.000	24.29		0.14	0.000
675.98	56.005	5.000	153.74	93.69	8.098	0.000	24.29		0.14	0.000
686.03	56.840	5.000	152.49	92.92	8.318	0.000	24.29		0.14	0.000
696.09	57.672	5.000	151.24	92.16	8.465	0.000	24.29		0.14	0.000
706.16	58.516	5.000	149.98	91.39	8.684	0.000	24.29		0.14	0.000
716.21	59.348	5.000	148.73	90.63	8.829	0.000	24.29		0.14	0.000
726.29	60.182	5.000	147.48	89.87	9.095	0.000	24.29		0.14	0.000
736.35	61.016	5.000	146.23	89.11	9.241	0.000	24.28		0.15	0.000
746.39	61.846	5.000	144.98	88.35	9.337	0.000	24.29		0.15	0.000
756.46	62.680	5.000	143.73	87.59	9.462	0.000	24.29		0.15	0.000
766.54	63.522	5.000	142.47	86.82	9.612	0.000	24.29		0.15	0.000
776.59	64.355	5.000	141.22	86.05	9.779	0.000	24.30		0.15	0.000
786.67	65.187	5.000	139.97	85.29	9.882	0.000	24.29		0.15	0.000
796.75	66.022	5.000	138.72	84.53	9.945	0.000	24.29		0.15	0.000
806.80	66.856	5.000	137.47	83.77	10.022	0.000	24.30		0.15	0.000
816.87	67.690	5.000	136.22	83.01	10.149	0.000	24.30		0.15	0.000
826.95	68.531	5.000	134.95	82.24	10.327	0.000	24.31		0.15	0.000
837.02	69.365	5.000	133.70	81.47	10.461	0.000	24.31		0.15	0.000
847.09	70.198	5.000	132.45	80.71	10.557	0.000	24.32		0.16	0.000
857.17	71.039	5.000	131.19	79.94	10.678	0.000	24.32		0.16	0.000
867.19	71.864	5.000	129.95	79.19	10.792	0.000	24.32		0.16	0.000
877.24	72.697	5.000	128.70	78.43	10.937	0.000	24.32		0.16	0.000
887.32	73.538	5.000	127.44	77.66	11.109	0.000	24.32		0.16	0.000
897.38	74.371	5.000	126.19	76.90	11.171	0.000	24.31		0.16	0.000
907.43	75.206	5.000	124.94	76.14	11.347	0.000	24.31		0.16	0.000
917.51	76.037	5.000	123.69	75.38	11.501	0.000	24.31		0.16	0.000
927.54	76.873	5.000	122.44	74.61	11.678	0.000	24.31		0.16	0.000
937.62	77.705	5.000	121.19	73.85	11.803	0.000	24.31		0.16	0.000
947.69	78.537	5.000	119.95	73.09	11.980	0.000	24.31		0.16	0.000
957.75	79.380	5.000	118.68	72.32	12.166	0.000	24.32		0.16	0.000
967.83	80.213	5.000	117.43	71.56	12.414	0.000	24.32		0.17	0.000
977.90	81.045	5.000	116.18	70.80	12.579	0.000	24.31		0.17	0.000
987.94	81.880	5.000	114.93	70.04	12.818	0.000	24.31		0.17	0.000
998.02	82.715	5.000	113.68	69.27	13.082	0.000	24.32		0.17	0.000
1008.10	83.556	5.000	112.42	68.50	13.327	0.000	24.32		0.17	0.000
1018.17	84.386	5.000	111.17	67.74	13.627	0.000	24.32		0.17	0.000
1028.22	85.221	5.000	109.92	66.98	13.870	0.000	24.31		0.17	0.000
1038.29	86.053	5.000	108.67	66.22	14.208	0.000	24.32		0.17	0.000
1048.35	86.889	5.000	107.42	65.46	14.491	0.000	24.32		0.17	0.000
1058.43	87.722	5.000	106.17	64.70	14.860	0.000	24.32		0.17	0.000
1068.49	88.563	5.000	104.91	63.93	15.218	0.000	24.32		0.17	0.000
1078.56	89.398	5.000	103.65	63.16	15.678	0.000	24.33		0.17	0.000
1088.64	90.228	5.000	102.41	62.40	16.221	0.000	24.33		0.18	0.000
1098.69	91.064	5.000	101.15	61.64	16.812	0.000	24.33		0.18	0.000
1108.75	91.898	5.000	99.90	60.88	17.383	0.000	24.33		0.18	0.000
1118.82	92.728	5.000	98.66	60.12	17.984	0.000	24.33		0.18	0.000
1128.90	93.571	5.000	97.39	59.35	18.728	0.000	24.33		0.18	0.000
1138.96	94.405	5.000	96.14	58.59	19.512	0.000	24.33		0.18	0.000
1149.03	95.236	5.000	94.90	57.83	20.329	0.000	24.33		0.18	0.000
1159.10	96.072	5.000	93.64	57.06	21.265	0.000	24.34		0.18	0.000
1169.16	96.905	5.000	92.39	56.30	22.258	0.000	24.34		0.18	0.000
1179.23	97.746	5.000	91.13	55.53	23.339	0.000	24.34		0.18	0.000
1189.30	98.579	5.000	89.88	54.77	24.465	0.000	24.33		0.18	0.000
1199.35	99.413	5.000	88.63	54.01	25.681	0.000	24.32		0.18	0.000
1209.42	100.247	5.000	87.38	53.25	27.046	0.000	24.32		0.19	0.000
1219.49	101.081	5.000	86.13	52.48	28.527	0.000	24.33		0.19	0.000
1229.51	101.913	5.000	84.88	51.72	30.065	0.000	24.33		0.19	0.000
1239.59	102.746	5.000	83.63	50.96	31.754	0.000	24.34		0.19	0.000
1249.67	103.586	5.000	82.37	50.19	33.726	0.000	24.35		0.19	0.000
1259.74	104.421	5.000	81.12	49.43	35.823	0.000	24.35		0.19	0.000
1269.79	105.255	5.000	79.87	48.67	38.075	0.000	24.35		0.19	0.000
1279.86	106.087	5.000	78.62	47.91	40.446	0.000	24.35		0.19	0.000
1289.93	106.919	5.000	77.37	47.15	43.099	0.000	24.35		0.19	0.000
1299.99	107.547	-1.995	76.43	46.57	45.026	0.000	24.35		0.19	0.000
1310.06	107.711	1.995	76.18	46.42	44.950	0.000	24.35		0.19	0.000
1320.14	107.887	1.995	75.92	46.26	45.009	0.000	24.35		0.19	0.000
1330.18	107.980	-1.995	75.78	46.18	45.159	0.000	24.35		0.19	0.000
1340.25	108.060	-1.995	75.66	46.11	45.086	0.000	24.35		0.19	0.000
1350.31	108.129	-1.995	75.56	46.04	44.973	0.000	24.34		0.20	0.000
1360.39	108.182	1.995	75.48	45.99	44.903	0.000	24.34		0.20	0.000
1370.45	108.315	1.995	75.28	45.87	44.846	0.000	24.34		0.20	0.000
1380.52	108.423	1.995	75.12	45.77	44.851	0.000	24.33		0.20	0.000
1390.57	108.546	1.995	74.93	45.66	44.986	0.000	24.34		0.20	0.000
1400.65	108.619	-0.180	74.82	45.59	45.084	0.000	24.34		0.20	0.000
1410.71	108.639	-1.995	74.79	45.58	45.131	0.000	24.34		0.20	0.000
1420.78	108.652	-1.995	74.77	45.56	45.014	0.000	24.34		0.20	0.000
1430.85	108.712	-1.815	74.68	45.51	44.998	0.000	24.34		0.20	0.000
1440.89	108.769	-1.995	74.60	45.46	45.000	0.000	24.34		0.20	0.000
1450.93	108.824	-1.995	74.51	45.41	45.000	0.000	24.33		0.20	0.000
1461.01	108.879	-1.995	74.43	45.36	44.969	0.000	24.34		0.20	0.000
1471.05	108.923	1.995	74.37	45.32	44.861	0.000	24.33		0.20	0.000
1481.11	108.985	1.995	74.27	45.26	44.852	0.000	24.33		0.21	0.000
1491.19	109.046	1.995	74.18	45.20	44.914	0.000	24.32		0.21	0.000
