t[s],Bpos,Bspd,A[cm²],Mma[Å²],P1[mN/m],P2[mN/m],T[°C],SP[V],pH,AD[V]
0.02,0,0,237.75,250.03,-0.399,0,23.52,,0.37,0
10.07,0.783,5,236.58,248.8,-0.429,0,23.53,,0.36,0
20.07,1.617,5,235.33,247.48,-0.363,0,23.55,,0.36,0
30.13,2.449,5,234.08,246.17,-0.328,0,23.57,,0.36,0
40.21,3.284,5,232.82,244.85,-0.439,0,23.58,,0.36,0
50.39,4.124,5,231.56,243.53,-0.345,0,23.59,,0.36,0
60.45,4.966,5,230.3,242.2,-0.464,0,23.59,,0.36,0
70.56,5.8,5,229.05,240.88,-0.456,0,23.59,,0.35,0
80.67,6.639,5,227.79,239.56,-0.459,0,23.59,,0.35,0
90.86,7.484,5,226.52,238.23,-0.395,0,23.59,,0.35,0
101.05,8.332,5,225.25,236.89,-0.416,0,23.59,,0.35,0
111.1,9.166,5,224,235.57,-0.412,0,23.57,,0.35,0
121.26,10.007,5,222.74,234.25,-0.391,0,23.57,,0.35,0
131.42,10.851,5,221.47,232.92,-0.498,0,23.58,,0.34,0
141.55,11.692,5,220.21,231.59,-0.498,0,23.58,,0.34,0
151.73,12.533,5,218.95,230.26,-0.506,0,23.58,,0.34,0
161.9,13.375,5,217.69,228.93,-0.461,0,23.55,,0.34,0
172.03,14.216,5,216.43,227.61,-0.358,0,23.55,,0.34,0
182.18,15.057,5,215.16,226.28,-0.361,0,23.55,,0.34,0
192.27,15.892,5,213.91,224.96,-0.359,0,23.52,,0.33,0
202.35,16.733,5,212.65,223.64,-0.379,0,23.51,,0.33,0
212.5,17.572,5,211.39,222.31,-0.401,0,23.49,,0.33,0
222.64,18.417,5,210.12,220.98,-0.478,0,23.47,,0.33,0
232.65,19.242,5,208.89,219.68,-0.465,0,23.45,,0.33,0
242.66,20.074,5,207.64,218.37,-0.466,0,23.45,,0.33,0
252.75,20.907,5,206.39,217.05,-0.428,0,23.42,,0.32,0
262.83,21.741,5,205.14,215.74,-0.406,0,23.42,,0.32,0
272.97,22.591,5,203.86,214.4,-0.374,0,23.42,,0.32,0
283.16,23.434,5,202.6,213.07,-0.347,0,23.44,,0.32,0
293.21,24.267,5,201.35,211.75,-0.471,0,23.45,,0.32,0
303.4,25.107,5,200.09,210.43,-0.489,0,23.46,,0.32,0
313.53,25.949,5,198.83,209.1,-0.402,0,23.45,,0.32,0
323.69,26.79,5,197.57,207.77,-0.4,0,23.45,,0.31,0
333.7,27.623,5,196.32,206.46,-0.401,0,23.45,,0.31,0
343.88,28.467,5,195.05,205.13,-0.371,0,23.43,,0.31,0
353.89,29.299,5,193.8,203.81,-0.352,0,23.43,,0.31,0
364.07,30.139,5,192.54,202.49,-0.396,0,23.43,,0.31,0
374.19,30.982,5,191.28,201.16,-0.355,0,23.45,,0.31,0
384.39,31.823,5,190.02,199.83,-0.394,0,23.46,,0.31,0
394.45,32.664,5,188.75,198.51,-0.461,0,23.49,,0.3,0
404.54,33.499,5,187.5,197.19,-0.438,0,23.49,,0.3,0
414.56,34.324,5,186.26,195.89,-0.339,0,23.5,,0.3,0
424.6,35.156,5,185.02,194.57,-0.463,0,23.5,,0.3,0
434.73,35.999,5,183.75,193.25,-0.331,0,23.49,,0.3,0
